panel,omega_r,omega_i,lambda_re,lambda_im
0,7.490081525e-05,-0.00038261771990000004,-1.3039,-0.25525
0,-0.00021411216006,-0.00041357281099,-1.40939,0.72966
0,0.00021411216006,-0.00041357281099,-1.40939,-0.72966
0,-0.00024802220202,-0.00043298099873000003,-1.47553,0.84522
0,0.00024802220202,-0.00043298099873000003,-1.47553,-0.84522
0,-0.0,-0.00044254424092,-1.50812,0.0
0,-0.0,-0.00044525270135000003,-1.51735,0.0
0,-0.0,-0.000463930221,-1.581,0.0
0,-8.966676637e-05,-0.00046501301829,-1.58469,0.30557
0,8.966676637e-05,-0.00046501301829,-1.58469,-0.30557
0,-4.007230296e-05,-0.00052503344043,-1.78923,0.13656
0,4.007230296e-05,-0.00052503344043,-1.78923,-0.13656
0,-6.405523589e-05,-0.000531715092,-1.812,0.21829
0,6.405523589e-05,-0.000531715092,-1.812,-0.21829
0,-0.0,-0.0005319028942400001,-1.81264,0.0
0,-0.0,-0.00055113501738,-1.87818,0.0
0,-0.0,-0.00055186861988,-1.88068,0.0
0,-0.00017964164579000003,-0.00055277535257,-1.88377,0.61219
0,0.00017964164579000003,-0.00055277535257,-1.88377,-0.61219
0,-0.00015205819179000003,-0.00058988683584,-2.01024,0.51819
0,0.00015205819179000003,-0.00058988683584,-2.01024,-0.51819
0,-0.0,-0.0006157712664500001,-2.09845,0.0
0,-0.00020496266968,-0.0006373098358500001,-2.17185,0.69848
0,0.00020496266968,-0.0006373098358500001,-2.17185,-0.69848
0,-0.0,-0.0006529913228900001,-2.22529,0.0
0,-0.00047388667413000005,-0.0006677836837000001,-2.2757,1.61493
0,0.00047388667413000005,-0.0006677836837000001,-2.2757,-1.61493
0,-0.00027048804498,-0.0006788698846800001,-2.31348,0.92178
0,0.00027048804498,-0.0006788698846800001,-2.31348,-0.92178
